traditional	simplified	pinyin	translation_fr-FR
分手	分手	fen1 shou3	"se séparer__mettre fin à une relation"
分批	分批	fen1 pi1	"lotissement"
分擔	分担	fen1 dan1	"partager"
分擔位	分担位	fen1 dan1 wei4	"règle des signes (math.)"
分拆	分拆	fen4 chai1	"dégroupage (télécoms)__dégroupement (économie d'entreprise)"
分攤	分摊	fen1 tan1	"partager"
分支	分支	fen1 zhi1	"branche__succursale__filiale__antenne"
分支機構	分支机构	fen1 zhi1 ji1 gou4	"succursale"
分散	分散	fen1 san4	"disperser__éparpiller"
分散和弦	分散和弦	fen1 san4 he2 xian2	"(musique) arpège__arpeggio"
分散注意力	分散注意力	fen1 san4 zhu4 yi4 li4	"distraire__détourner l'attention"
分數	分数	fen1 shu4	"fraction (math.)"
分數線	分数线	fen1 shu4 xian4	"barre de fraction"
分文	分文	fen1 wen2	"un seul sou__un seul centime"
分時	分时	fen1 shi2	"temps partagé"
分明	分明	fen1 ming2	"évidemment__manifestment__net__distinct"
分期	分期	fen1 qi1	"par étapes__pas à pas__échelonné"
分期付款	分期付款	fen1 qi1 fu4 kuan3	"acompte__payement échelonné__versements"
分機	分机	fen1 ji1	"extension (téléphonique)"
分析	分析	fen1 xi1	"analyser__analyse"
分析儀	分析仪	fen1 xi1 yi2	"analyseur"
分析幾何	分析几何	fen1 xi1 ji3 he2	"équation normale"
分析家	分析家	fen1 xi1 jia1	"analyste (politique)"
分析師	分析师	fen1 xi1 shi1	"analyste"
分析報告	分析报告	fen1 xi1 bao4 gao4	"rapport d'analyse"
分析拓展	分析拓展	fen1 xi1 tuo4 zhan3	"projection canonique (structure algébrique)"
分析法	分析法	fen1 xi1 fa3	"méthode analytique__raisonnement analytique"
分校	分校	fen1 xiao4	"succursale d'une école"
分歧	分歧	fen1 qi2	"désaccord__divergence"
分段	分段	fen1 duan4	"segment__section"
分毫	分毫	fen1 hao2	"fraction__moindre différence"
分泌	分泌	fen1 mi4	"sécréter"
分泌物	分泌物	fen1 mi4 wu4	"sécrétion"
分派	分派	fen1 pai4	"partager"
分流	分流	fen1 liu2	"Bypass"
分清	分清	fen1 qing1	"distinguer__discerner"
分點	分点	fen1 dian3	"équinoxe"
分瓦	分瓦	fen1 wa3	"déciwatt"
分社	分社	fen1 she4	"sous-division ou branche d'une organisation"
分神	分神	fen1 shen2	"être distrait__faire plusieurs choses à la fois__écarteler__don d'ubiquité"
分離	分离	fen1 li2	"séparer__isoler__se séparer"
分立	分立	fen1 li4	"séparation"
分站	分站	fen1 zhan4	"sous-station"
分管	分管	fen1 guan3	"être en charge de__être chargé de__être responsable de"
分類	分类	fen1 lei4	"classifier__classer"
分類廣告	分类广告	fen1 lei4 guang3 gao4	"Petite annonce"
分紅	分红	fen1 hong2	"partager le boni"
分級	分级	fen1 ji2	"trier__séparer en différents types"
分組	分组	fen1 zu3	"paquet (réseau)"
分給	分给	fen1 gei3	"distribuer__départir"
分行	分行	fen1 hang2	"succursale d'une banque ou d'un magasin__filiale bancaire"
分裂	分裂	fen1 lie4	"diviser__désunir__scinder__rompre__séparer__fission__schisme"
分裂域	分裂域	fen1 lie4 yu4	"corps de base (structure algébrique)"
分裂情感性障礙	分裂情感性障碍	fen1 lie4 qing2 gan3 xing4 zhang4 ai4	"trouble schizo-affectif"
分解	分解	fen1 jie3	"décomposer"
分訴	分诉	fen1 su4	"raconter__expliquer__se justifier"
分貝	分贝	fen1 bei4	"décibel__bel"
分身	分身	fen1 shen1	"double (dualité)"
分辨	分辨	fen1 bian4	"distinguer__discerner"
分辨率	分辨率	fen1 bian4 lu:4	"résolution numérique"
分部	分部	fen1 bu4	"succursale__subdivision__subdiviser"
分配	分配	fen1 pei4	"distribuer__partager__répartir__désigner__assigner"
分量	分量	fen4 liang5	"poids"
分量	分量	fen1 liang4	"composant"
分鐘	分钟	fen1 zhong1	"minute (durée)"
分銷	分销	fen1 xiao1	"distribution__magasin de détail"
分銷商	分销商	fen1 xiao1 shang1	"distributeur (magasin)"
分門別類	分门别类	fen1 men2 bie2 lei4	"organiser par catégories__classifier"
分隊	分队	fen1 dui4	"fraction"
分限	分限	fen1 xian4	"centre radical (géométrie)"
分隔	分隔	fen1 ge2	"diviser__séparer__partition"
分頁	分页	fen1 ye4	"fenêtre de l'onglet__pagination__saut de page"
分項	分项	fen1 xiang4	"point subsidiaire"
切	切	qie1	"couper__hacher__tangente (math.)"
切	切	qie4	"définitivement__absolument (pas)__(interjection méprisante) Ouais, c'est ça.__proche de__impatient__correspondre à"
切侖可夫輻射	切仑可夫辐射	qie1 lun2 ke3 fu1 fu2 she4	"Effet Vavilov-Cerenkov"
切侖柯伕輻射	切仑柯夫辐射	qie1 lun2 ke1 fu1 fu2 she4	"Effet Vavilov-Cerenkov"
切倫科伕輻射	切伦科夫辐射	qie1 lun2 ke1 fu1 fu2 she4	"Effet Vavilov-Cerenkov"
切入	切入	qie1 ru4	"couper__inciser__pénétrer profondément dans (un sujet, une région, etc.)__incision"
切刀	切刀	qie1 dao1	"cutter__couteau__tranchet"
切分音	切分音	qie1 fen1 yin1	"syncope"
切切	切切	qie4 qie4	"absolument__à tout prix__surtout__respecter rigoureusement (une règle)"
切削	切削	qie1 xiao1	"tailler"
切割	切割	qie1 ge1	"couper"
切割機	切割机	qie1 ge1 ji1	"machine de découpe"
切勿	切勿	qie4 wu4	"ne pas__prière de ne pas"
切口	切口	qie1 kou3	"incision__entailler__fente__entaille__marge d'une page__bord découpé"
切口	切口	qie4 kou3	"argot"
切合	切合	qie4 he2	"se conformer à__convenir à"
切向加速度	切向加速度	qie1 xiang4 jia1 su4 du4	"accélération normale (math.)"
切實	切实	qie4 shi2	"réel__sincère__absolument certain"
切實可行	切实可行	qie4 shi2 ke3 xing2	"possible__faisable"
切爾西	切尔西	Qie4 er3 xi1	"Chelsea"
切開	切开	qie1 kai1	"inciser"
切忌	切忌	qie4 ji4	"éviter à tout prix"
切成	切成	qie1 cheng2	"découper__tailler__émincer__déchiqueter"
切換	切换	qie1 huan4	"basculer"
切斷	切断	qie1 duan4	"couper"
切末	切末	qie4 mo5	"accessoire de scène"
切格瓦拉	切格瓦拉	Qie4 Ge2 wa3 la1	"Che Guevara"
切片	切片	qie1 pian4	"lame__feuille sciée"
切磋	切磋	qie1 cuo1	"discuter"
切糕	切糕	qie1 gao1	"gâteau traditionnel du Xinjiang fait de noix"
切線方向	切线方向	qie1 xian4 fang1 xiang4	"tangentielle"
切莫	切莫	qie4 mo4	"vous ne devez pas__merci de ne pas__soyez sûr de ne pas__en aucun cas (le faire)"
切記	切记	qie4 ji4	"retenir soigneusement__graver dans la mémoire"
切身	切身	qie4 shen1	"personnel__particulier"
切除	切除	qie1 chu2	"excision__exciser"
刈	刈	yi4	"couper (de l'herbe)__moissonner__faucher"
栞	刊	kan1	"graver__couper"
刊號	刊号	kan1 hao4	"numéro (d'un journal, magazine...)"
刊頭	刊头	kan1 tou2	"tête de journal ou de magazine"
刊物	刊物	kan1 wu4	"publication__périodique__revue"
刊登	刊登	kan1 deng1	"publier dans un journal ou dans un périodique"
刊載	刊载	kan1 zai3	"insérer dans une publication ou dans un journal"
刊首語	刊首语	kan1 shou3 yu3	"avant-propos__préface"
芻	刍	chu2	"foin__paille__couper de l'herbe"
刎	刎	wen3	"s'égorger__se couper la gorge"
刑	刑	xing2	"peine__torture__châtiment"
刑事	刑事	xing2 shi4	"criminel__pénal"
刑事拘留	刑事拘留	xing2 shi4 ju1 liu2	"détenir comme criminel__détention criminelle"
刑事訴訟法	刑事诉讼法	xing2 shi4 su4 song4 fa3	"procédure pénale"
刑事責任	刑事责任	xing2 shi4 ze2 ren4	"responsabilité pénale"
刑拘	刑拘	xing2 ju1	"(abr.) détenir comme criminel__détention criminelle"
刑法	刑法	xing2 fa3	"droit pénal"
刑罰	刑罚	xing2 fa2	"condamnation__punition__peine__châtiment__sentence"
刑警	刑警	xing2 jing3	"police criminelle__Interpol"
劃	划	hua4	"tracer__rayer__couper__poinçon"
劃	划	hua2	"barque__crochet__mener une barque à la perche__ramer__pagayer__valoir la peine__couper__égratigner"
劃下	划下	hua4 xia4	"souligner__marquer"
劃傷	划伤	hua2 shang1	"endommager en grattant__entailler__lacérer__scarifier"
劃位	划位	hua4 wei4	"assigner un siège à qqn__se voir attribuer une place"
劃分	划分	hua4 fen1	"diviser__distinguer"
划子	划子	hua2 zi5	"petit bateau à rames__barque__canot__canoë"
劃定	划定	hua4 ding4	"délimiter__allouer"
划拉	划拉	hua2 la5	"(s') essuyer__brosser__ramer (dialecte)"
劃撥	划拨	hua4 bo1	"assigner__allouer__transférer (de l'argent)__faire un virement (bancaire)"
劃時代	划时代	hua4 shi2 dai4	"marquer son époque"
劃痕	划痕	hua2 hen2	"égratignure__entaille__entailler__égratigner"
劃破	划破	hua2 po4	"copuer__déchirer__strier"
划算	划算	hua2 suan4	"profitable__avantageux"
劃線	划线	hua4 xian4	"tracé"
划船	划船	hua2 chuan2	"ramer__canoter"
划過	划过	hua2 guo4	"strier"
刖	刖	yue4	"couper les pieds (châtiment)"
列	列	lie4	"aligner__rang__file__série"
列為	列为	lie4 wei2	"être classé comme"
列舉	列举	lie4 ju3	"énumérer__liste__lister"
列傳	列传	lie4 zhuan4	"biographie historique"
列侯	列侯	lie4 hou2	"duc (arch.)__noble__noblesse"
列入	列入	lie4 ru4	"figurer"
列兵	列兵	lie4 bing1	"Recrue (grade)"
列出	列出	lie4 chu1	"faire une liste__lister"
列印	列印	lie4 yin4	"Imprimerie"
列塞庇護十世村	列塞庇护十世村	lie4 sai1 bi4 hu4 shi2 shi4 cun1	"Riese Pio X (Italie)"
列寧	列宁	Lie4 ning2	"Lénine"
列寧主義	列宁主义	Lie4 ning2 zhu3 yi4	"Léninisme"
列強	列强	lie4 qiang2	"grandes puissances"
列緊	列紧	lie4 jin3	"sÃ©quentiellement compact (topologie math.)"
列級酒莊	列级酒庄	lie4 ji2 jiu3 zhuang1	"grand cru classé"
列表	列表	lie4 biao3	"liste"
列車	列车	lie4 che1	"train"
列隊	列队	lie4 dui4	"File d'attente"
劉	刘	Liu2	"(nom de famille)"
劉義慶	刘义庆	Liu2 Yi4 qing4	"Liu Yiqing"
劉備	刘备	Liu2 Bei4	"Liu Bei"
劉少奇	刘少奇	Liu2 Shao4 qi2	"Liu Shaoqi"
劉師培	刘师培	Liu2 Shi1 pei2	"Liu Shipei"
劉慈欣	刘慈欣	Liu2 Ci2 xin1	"Liu Cixin"
劉松齡	刘松龄	Liu2 Song1 ling2	"Ferdinand Augustin Hallerstein"
劉洋	刘洋	Liu2 Yang2	"Liu Yang"
劉海	刘海	liu2 hai3	"frange"
則	则	ze2	"règle__règlement__critère__norme__alors__donc__(conjonction exprimant un contraste avec ce qui précède) mais, alors que"
剛	刚	gang1	"à l'instant__tout à l'heure__à peine__fort__ferme__dur"
剛剛	刚刚	gang1 gang5	"tout juste__à peine__exactement"
剛好	刚好	gang1 hao3	"juste__précisément"
剛強	刚强	gang1 qiang2	"inflexible__indomptable"
剛性	刚性	gang1 xing4	"dureté__rigidité"
剛纔	刚才	gang1 cai2	"à l'instant"
剛果	刚果	Gang1 guo3	"Congo"
剛毅	刚毅	gang1 yi4	"droit et énergique__qui fait preuve d'une remarquable constance__ferme__résolu"
剛要	刚要	gang1 yao4	"être sur le point de__aller ( infinitif)"
創	创	chuang1	"plaie__blessure"
創	创	chuang4	"commencer__accomplir pour la première fois__initier__créer__établir"
創下	创下	chuang4 xia4	"établir"
創業	创业	chuang4 ye4	"créer une oeuvre__fonder une entreprise__défricher"
創業投資	创业投资	chuang4 ye4 tou2 zi1	"Capital risque"
創業者	创业者	chuang4 ye4 zhe3	"entrepreneur"
創舉	创举	chuang4 ju3	"innovation__initiative"
創優	创优	chuang4 you1	"viser l'excellence"
創傷	创伤	chuang1 shang1	"plaie__blessure__traumatisme"
創傷後心理壓力緊張綜合症	创伤后心理压力紧张综合症	chuang1 shang1 hou4 xin1 li3 ya1 li4 jin3 zhang1 zong1 he2 zheng4	"Trouble de stress post-traumatique"
創作	创作	chuang4 zuo4	"création__créer__production__enfanter__faire"
創作者	创作者	chuang4 zuo4 zhe3	"créateur__auteur (de certains projets)__inventeur"
創刊	创刊	chuang4 kan1	"commencer à publier__fonder un journal"
創辦	创办	chuang4 ban4	"établir__fonder__créer"
創口	创口	chuang1 kou3	"blessure__coupure"
創口貼	创口贴	chuang1 kou3 tie1	"pansement"
創始	创始	chuang4 shi3	"initier__engager__fonder"
創始人	创始人	chuang4 shi3 ren2	"créateur__fondateur__initiateur"
創建	创建	chuang4 jian4	"créer__fonder"
創意	创意	chuang4 yi4	"originalité__original__créatif__inventif"
創收	创收	chuang4 shou1	"gagner de largent__toucher un revenu"
創新	创新	chuang4 xin1	"innovation"
創新精神	创新精神	chuang4 xin1 jing1 shen2	"esprit d'innovation__créativité"
創新能力	创新能力	chuang4 xin1 neng2 li4	"capacité à innover__capacité de création"
創匯	创汇	chuang4 hui4	"gagner des devises étrangères"
創立	创立	chuang4 li4	"fonder__instaurer"
創紀錄	创纪录	chuang4 ji4 lu4	"battre un record"
創見	创见	chuang4 jian4	"idée transcendante__idée neuve"
創設	创设	chuang4 she4	"établir__fonder__créer (un bon environnement)"
創造	创造	chuang4 zao4	"créer__produire__accomplir"
創造主	创造主	Chuang4 zao4 zhu3	"Créateur (christianisme)"
創造力	创造力	chuang4 zao4 li4	"créativité"
創造性	创造性	chuang4 zao4 xing4	"créativité__esprit créateur"
創造物	创造物	chuang4 zao4 wu4	"créature"
創造者	创造者	chuang4 zao4 zhe3	"bâtisseur__créateur"
刜	刜	fu2	"couper__hacher"
初	初	chu1	"début__commencement__premier__élémentaire__préliminaire__primitif"
初一	初一	chu1 yi1	"calendes"
初三	初三	chu1 san1	"troisième année de collège"
初中	初中	chu1 zhong1	"premier cycle de l'école secondaire__collège"
初中生	初中生	chu1 zhong1 sheng1	"élève du premier cycle"
初二	初二	chu1 er4	"2e année de collège__2e jour d'un mois lunaire__2e jour du Nouvel An lunaire"
初估	初估	chu1 gu1	"faire une estimation préliminaire"
初出茅廬	初出茅庐	chu1 chu1 mao2 lu2	"(expr. idiom.) s'aventurer loin de sa hutte pour la première fois__jeune et inexpérimenté__novice__jeunot"
初升	初升	chu1 sheng1	"lever (soleil, lune, etc.)"
初夏	初夏	chu1 xia4	"début de l'été"
初夜	初夜	chu1 ye4	"début de soirée__nuit de noces__(fig.) première rencontre sexuelle"
初始	初始	chu1 shi3	"initial__départ (point)"
初始化	初始化	chu1 shi3 hua4	"(inform.) initialiser__initialisation"
初學	初学	chu1 xue2	"jeune étudiant (débutant)"
初學者	初学者	chu1 xue2 zhe3	"débutant__The Beginner (album musical)"
初審	初审	chu1 shen3	"essai préliminaire"
初年	初年	chu1 nian2	"premières années"
初心	初心	chu1 xin1	"intention ou aspiration initiale__l'esprit du débutant"
初戀	初恋	chu1 lian4	"premier amour"
初文	初文	chu1 wen2	"forme archaïque d'un caractère chinois"
初春	初春	chu1 chun1	"début du printemps"
初期	初期	chu1 qi1	"première période__au début"
初來乍到	初来乍到	chu1 lai2 zha4 dao4	"être un nouveau venu"
初次	初次	chu1 ci4	"premier__pour la première fois__primaire__provisoire"
初步	初步	chu1 bu4	"premier__préliminaire__élémentaire"
初版	初版	chu1 ban3	"première édition"
初生	初生	chu1 sheng1	"nouveau-né__naissant__primaire (biologie)"
初秋	初秋	chu1 qiu1	"début de l'automne__7e mois du calendrier lunaire"
初稿	初稿	chu1 gao3	"premier brouillon (écriture)"
初級	初级	chu1 ji2	"primaire__élémentaire"
初級階段	初级阶段	chu1 ji2 jie1 duan4	"stade primaire"
初衷	初衷	chu1 zhong1	"première intention"
初試	初试	chu1 shi4	"examen préliminaire"
初賽	初赛	chu1 sai4	"concours préliminaire__manches initiales d'une compétition"
刪	删	shan1	"enlever__effacer"
刪剪	删剪	shan1 jian3	"couper (d'un film, etc.)__censurer"
刪去	删去	shan1 qu4	"supprimer"
刪帖	删帖	shan1 tie3	"supprimer un message de forum"
刪掉	删掉	shan1 diao4	"effacer__supprimer"
刪改	删改	shan1 gai3	"éditer__modifier"
刪除	删除	shan1 chu2	"supprimer__éliminer"
判	判	pan4	"juger__rendre un verdict__noter"
判決	判决	pan4 jue2	"prononcer un verdict"
判刑	判刑	pan4 xing2	"condamner__condamnation"
判別	判别	pan4 bie2	"distinguer__discerner"
判處	判处	pan4 chu3	"condamner__prononcer la sentence"
判定	判定	pan4 ding4	"juger__décider__déterminer"
判斷	判断	pan4 duan4	"juger__décider__déterminer__jugement"
判斷力	判断力	pan4 duan4 li4	"capacité de juger__jugement"
刨	刨	bao4	"raboter__rabot__plane__étrille"
刨	刨	pao2	"racler__creuser"
刨根	刨根	pao2 gen1	"(lit.) creuser les racines__aller au coeur du (sujet)"
刨筆刀	刨笔刀	bao4 bi3 dao1	"taille-crayon"
刨花板	刨花板	bao4 hua1 ban3	"aggloméré"
利	利	li4	"profit__intérêt__avantage__tranchant__favorable"
利於	利于	li4 yu2	"bénéfique à"
利亞	利亚	li4 ya4	"Léa (Genèse)"
利什曼病	利什曼病	li4 shi2 man4 bing4	"leishmaniose"
利他林	利他林	Li4 ta1 lin2	"Ritalin__méthylphénidate"
利他靈	利他灵	Li4 ta1 ling2	"Ritalin__méthylphénidate"
利他能	利他能	Li4 ta1 neng2	"Ritalin__méthylphénidate"
利刀	利刀	li4 dao1	"couteau bien aiguisé__couteau (arme)"
利刃	利刃	li4 ren4	"lame tranchante"
利劍	利剑	li4 jian4	"épée tranchante"
利器	利器	li4 qi4	"couverts"
利國利民	利国利民	li4 guo2 li4 min2	"bénéficier à la fois au pays et au peuple"
利多	利多	li4 duo1	"Lido (Venise)"
利好	利好	li4 hao3	"favorable__bon__avantage"
利害	利害	li4 hai5	"intérêt__avantages et inconvénients__gains et pertes"
利害	利害	li4 hai4	"profits et pertes__avantages et incovénients"
利弊	利弊	li4 bi4	"avantages et désavantages__gains et pertes"
利息	利息	li4 xi1	"intérêt (d'un prêt)"
利斯	利拉	li4 la1	"Lilla"
利斯	利斯	li4 si1	"Reece__Reese"
利比亞	利比亚	Li4 bi3 ya4	"Libye"
利氏漢法辭典	利氏汉法辞典	li4 shi4 han4 fa3 ci2 dian3	"Grand Ricci (dictionnaire)__Grand dictionnaire Ricci (de la langue chinoise)"
利潤	利润	li4 run4	"résultat net__profit__bénéfice"
利潤率	利润率	li4 run4 lu:4	"marge bénéficiaire"
利率	利率	li4 lu:4	"taux d'intérêt"
利用	利用	li4 yong4	"employer__utiliser__profiter de"
利用率	利用率	li4 yong4 lu:4	"taux d'utilisation"
利益	利益	li4 yi4	"intérêt__avantage"
利益輸送	利益输送	li4 yi4 shu1 song4	"faire usage de sa position pour obtenir du profit pour soi-même ou ses associés"
利益集團	利益集团	li4 yi4 ji2 tuan2	"Groupe de plaidoyer politique"
利眠寧	利眠宁	li4 mian2 ning2	"chlordiazépoxide__Librium"
利索	利索	li4 suo5	"agile"
利耶帕亞	利耶帕亚	li4 ye2 pa4 ya4	"Liepaja"
利落	利落	li4 luo5	"agile__leste__preste__adroit__ingambe"
利貼	利贴	Li4 tie1	"Post-It"
利達	利达	li4 da2	"Lida"
別	别	bie2	"ne pas...__défense de__partir__autre__différence__différent"
彆	别	bie4	"incommode"
別人	别人	bie2 ren5	"les autres__d'autres__qqn d'autre__autrui__autre personne"
別克	别克	Bie2 ke4	"Buick"
別具	别具	bie2 ju4	"avoir d'unique"
別具一格	别具一格	bie2 ju4 yi1 ge2	"avoir un style original__faire preuve d'une grande originalité__avoir du cachet__être unique en son genre"
別具隻眼	别具只眼	bie2 ju4 zhi1 yan3	"(expr. idiom.) voir ce que les autres ne voient pas__avoir une perspicacité exceptionnelle"
別出心裁	别出心裁	bie2 chu1 xin1 cai2	"(expr. idiom.) faire oeuvre originale__avoir de l'originalité__être marqué d'un caractère original"
別名	别名	bie2 ming2	"surnom"
別墅	别墅	bie2 shu4	"villa"
別處	别处	bie2 chu4	"ailleurs__différent__distinct"
別子	别子	bie2 zi5	"petit objet plat en jade porté à la ceinture comme ornement__épingle"
別莊	别庄	bie2 zhuang1	"villa"
別府市	别府市	bie2 fu3 shi4	"Beppu (Japon)"
別忘了	别忘了	bie2 wang4 le5	"N'oublie pas (de)__N'oubliez-pas (de)"
別怕	别怕	bie2 pa4	"N'aie pas peur !__N'ayez pas peur !"
別急	别急	bie2 ji2	"Ne t'inquiète pas !__Ne vous inquiétez pas !"
彆扭	别扭	bie4 niu5	"malaisé__difficile__anormal__non naturel__gênant__embarrassant__désaccord"
別提	别提	bie2 ti2	"Ne m'en parle pas !__Je te raconte pas..."
別無	别无	bie2 wu2	"ne pas avoir d'autres"
別無選擇	别无选择	bie2 wu2 xuan3 ze2	"ne pas avoir d'autre choix"
別有	别有	bie2 you3	"avoir d'autres..."
別有天地	别有天地	bie2 you3 tian1 di4	"décor enchanteur__cadre magnifique"
別有洞天	别有洞天	bie2 you3 dong4 tian1	"La Morsure du lézard (film)"
別有用心	别有用心	bie2 you3 yong4 xin1	"(expr. idiom.) avoir une arrière-pensée"
別的	别的	bie2 de5	"autre__différent"
別看	别看	bie2 kan4	"Ne regarde pas !__Ne regardez pas !"
別離	别离	bie2 li2	"quitter"
別管	别管	bie2 guan3	"peu importe"
別臉	别脸	bie2 lian3	"se détourner du visage"
別致	别致	bie2 zhi4	"peu banal__original__unique"
別論	别论	bie2 lun4	"un autre problème__une autre histoire__(vieille) objection"
別說	别说	bie2 shuo1	"sans parler de__sans dire"
剗	刬	chan4	"pelle"
剄	刭	jing3	"décapiter"
颳	刮	gua1	"gratter__racler__extorquer__souffler"
刮刮樂	刮刮乐	gua1 gua1 le4	"loterie à gratter__jeu de grattage"
刮刮叫	刮刮叫	gua1 gua1 jiao4	"tip-top__excellent__formidable__chouette alors__coassement__croasser"
刮目相看	刮目相看	gua1 mu4 xiang1 kan4	"donner un plus grand respect__voir quelqu'un sous une nouvelle lumière (positif)"
颳風	刮风	gua1 feng1	"venteux__venter__ronchonner__rouspéter__se plaindre"
到	到	dao4	"jusqu'à__arriver__parvenir__atteindre__aller à"
到了	到了	dao4 liao3	"il y avait"
到會	到会	dao4 hui4	"catering"
到位	到位	dao4 wei4	"accostage__docking"
到場	到场	dao4 chang3	"être présent__se présenter__faire son apparition"
到處	到处	dao4 chu4	"partout__n'importe où__de toute part"
到頭	到头	dao4 tou2	"toucher à sa fin"
到頭來	到头来	dao4 tou2 lai2	"en fin de compte__enfin__finalement"
到家	到家	dao4 jia1	"parfait__excellent__porté au plus haut degré"
到底	到底	dao4 di3	"au bout__à la fin__enfin__finalement__au final__en définitive__donc__après__en fin de compte"
到手	到手	dao4 shou3	"avoir entre les mains"
到手軟	到手软	dao4 shou3 ruan3	"(trait de caractère à angle droit commençant à l'horizontale)"
到時	到时	dao4 shi2	"à ce moment-là (à venir)"
到時候	到时候	dao4 shi2 hou4	"le moment venu__à cette époque"
到期	到期	dao4 qi1	"arriver à son terme__expirer"
到期日	到期日	dao4 qi1 ri4	"date de clôture (d'un contrat)__échéance (d'un emprunt d'investissement)"
到來	到来	dao4 lai2	"arrivée__venue__présence"
到此	到此	dao4 ci3	"ci-après__apposé"
到點	到点	dao4 dian3	"c'est l'heure (de faire qch)__le temps est venu"
到目前為止	到目前为止	dao4 mu4 qian2 wei2 zhi3	"jusqu'à présent__jusqu'ici"
到站	到站	dao4 zhan4	"arrivée (station)"
到訪	到访	dao4 fang3	"rendre visite"
到貨	到货	dao4 huo4	"arriver (colis ou livraison)"
到達	到达	dao4 da2	"arriver__parvenir__atteindre"
到那裡	到那里	dao4 na4 li3	"arriver là-bas"
到齊	到齐	dao4 qi2	"être tous présents"
刱	刱	chuang4	"établir__créer"
刳	刳	ku1	"fendre__vider"
刵	刵	er4	"couper les oreilles en guise de punition"
製	制	zhi4	"fabriquer__manufacturer__élaborer__contrôler__restreindre__système__régime"
製件	制件	zhi4 jian4	"pièce à usiner"
制伏	制伏	zhi4 fu2	"soumettre__subjuguer__dompter__maitriser"
製作	制作	zhi4 zuo4	"fabriquer__manufacturer"
製作人	制作人	zhi4 zuo4 ren2	"Producteur"
製作方法	制作方法	zhi4 zuo4 fang1 fa3	"méthode de production"
製作者	制作者	zhi4 zuo4 zhe3	"faiseur"
制冷	制冷	zhi4 leng3	"réfrigérer"
製劑	制剂	zhi4 ji4	"préparation"
制動	制动	zhi4 dong4	"freinage__frein"
製品	制品	zhi4 pin3	"produit__bien (n.m.)"
製圖	制图	zhi4 tu2	"dessiner__lever un plan"
製備	制备	zhi4 bei4	"préparer__préparation (chimie)"
制定	制定	zhi4 ding4	"élaborer__établir"
制度	制度	zhi4 du4	"système (politique, administratif, etc.)__institution (sociologie)"
制度化	制度化	zhi4 du4 hua4	"systématisation"
制度改革	制度改革	zhi4 du4 gai3 ge2	"réforme du système"
制式	制式	zhi4 shi4	"norme__format__standard__système__type de service"
製成	制成	zhi4 cheng2	"fabriquer__révéler (un produit)"
制服	制服	zhi4 fu2	"uniforme__soumettre__maitriser__dompter"
製模	制模	zhi4 mu2	"fabrication de moules"
制止	制止	zhi4 zhi3	"arrêter__empêcher__mettre fin à"
製油	制油	zhi4 you2	"extraire l'huile (végétale)__extraction du pétrole"
製片	制片	zhi4 pian4	"production (cinématographique)"
製片人	制片人	zhi4 pian4 ren2	"cinéaste__réalisateur__producteur"
製片廠	制片厂	zhi4 pian4 chang3	"studio de cinéma"
製版	制版	zhi4 ban3	"clichage"
製程	制程	zhi4 cheng2	"procédé de fabrication__processus"
制約	制约	zhi4 yue1	"restreindre__limiter"
製勝	制胜	zhi4 sheng4	"vaincre__remporter la victoire"
制藥	制药	zhi4 yao4	"pharmacie"
製藥廠	制药厂	zhi4 yao4 chang3	"laboratoire de pharmacie__usine pharmaceutique"
制衣	制衣	zhi4 yi1	"fabrication de vêtements__confection de vêtements"
制裁	制裁	zhi4 cai2	"sanctionner"
制訂	制订	zhi4 ding4	"formuler__établir"
製造	制造	zhi4 zao4	"fabriquer__manufacturer__créer__fabriqué"
制造業	制造业	zhi4 zao4 ye4	"construction"
製造廠	制造厂	zhi4 zao4 chang3	"Usine"
製造商	制造商	zhi4 zao4 shang1	"fabricant"
製造者	制造者	zhi4 zao4 zhe3	"fabricant__faiseur__constructeur"
制酸劑	制酸剂	zhi4 suan1 ji4	"antiacide"
製高點	制高点	zhi4 gao1 dian3	"position dominante"
刷	刷	shua1	"brosser__peindre__brosse__éliminer"
刷	刷	shua4	"sélectionner"
刷劇	刷剧	shua1 ju4	"binge-watching__binge-viewing__marathon-viewing__gavage télévisuel__visionnage en rafale__visionnement en rafale"
刷卡	刷卡	shua1 ka3	"utiliser une carte de crédit"
刷子	刷子	shua1 zi5	"pinceau__brosse"
刷屏	刷屏	shua1 ping2	"flooding"
刷新	刷新	shua1 xin1	"renouveler__réformer__battre (un record)__écrire une nouvelle page de l'Histoire"
刷機	刷机	shua1 ji1	"remplacer le firmware"
刷牙	刷牙	shua1 ya2	"brossage des dents__(se) brosser les dents"
劵	券	quan4	"billet"
券商	券商	quan4 shang1	"courtier en valeurs mobilières__courtage"
剎	刹	sha1	"stopper__arrêter__freiner"
剎	刹	cha4	"pagode"
剎車	刹车	sha1 che1	"freiner__faire arrêter"
剎那	刹那	cha4 na4	"instant__moment"
剎那間	刹那间	cha4 na4 jian1	"tout à coup__soudainement__subitement__brusquement__en un flash"
刺	刺	ci4	"piquer__irriter__assassiner__épine"
刺	刺	ci1	"(onom.) souffle"
刺五加	刺五加	ci4 wu3 jia1	"eleutherococcus senticosus__ginseng sibérien"
刺傷	刺伤	ci4 shang1	"écharde__piquer"
刺兒	刺儿	ci4 r	"épine__arête__se moquer de"
